Day,Price,Signal,SignalStrategyValue,FlatStrategyValue,AccumulatedCash,TotalInvested
1115,56.52,Hold,1059.69,1061.10,3.00,1062.69
1116,56.43,Hold,1058.00,1060.41,4.00,1062.00
1117,55.75,Hold,1045.25,1048.64,5.00,1050.25
1118,56.25,Hold,1054.63,1059.04,6.00,1060.63
1119,56.23,Hold,1054.25,1059.66,7.00,1061.25
1120,56.23,Hold,1054.25,1060.66,8.00,1062.25
1121,56.90,Hold,1066.81,1074.30,9.00,1075.81
1122,57.08,Hold,1070.19,1078.70,10.00,1080.19
1123,57.15,Hold,1071.50,1081.02,11.00,1082.50
1124,57.30,Hold,1074.31,1084.86,12.00,1086.31
1125,58.21,Hold,1091.38,1103.09,13.00,1104.38
1126,58.22,Hold,1091.56,1104.28,14.00,1105.56
1127,58.34,Hold,1093.81,1107.56,15.00,1108.81
1128,58.65,Hold,1099.62,1114.44,16.00,1115.62
1129,58.87,Hold,1103.75,1119.62,17.00,1120.75
1130,58.87,Hold,1103.75,1120.62,18.00,1121.75
1131,58.85,Hold,1103.37,1121.24,19.00,1122.37
1132,59.33,Hold,1112.37,1131.39,20.00,1132.37
1133,59.71,Hold,1119.50,1139.63,21.00,1140.50
1134,59.64,Hold,1118.19,1139.30,22.00,1140.19
1135,59.25,Hold,1110.87,1132.85,23.00,1133.87
1136,59.67,Hold,1118.75,1141.88,24.00,1142.75
1137,60.09,Hold,1126.62,1150.91,25.00,1151.62
1138,59.74,Hold,1120.06,1145.21,26.00,1146.06
1139,59.40,Hold,1113.69,1139.69,27.00,1140.69
1140,59.39,Sell,1113.50,1140.50,28.00,1141.50
1141,59.74,Hold,1120.06,1148.22,29.00,1149.06
1142,59.77,Hold,1120.62,1149.80,30.00,1150.62
1143,59.59,Hold,1117.25,1147.34,31.00,1148.25
1144,60.02,Hold,1125.31,1156.61,32.00,1157.31
1145,60.60,Hold,1136.18,1168.79,33.00,1169.18
1146,60.77,Buy,1173.37,1173.07,0.00,1173.37
1147,60.45,Sell,1167.19,1167.89,1.00,1168.19
1148,60.59,Hold,1169.90,1171.60,2.00,1171.90
1149,61.00,Buy,1180.81,1180.53,0.00,1180.81
1150,61.14,Hold,1183.52,1184.24,1.00,1184.52
1151,61.20,Hold,1184.68,1186.40,2.00,1186.68
1152,61.95,Hold,1199.20,1201.94,3.00,1202.20
1153,62.03,Hold,1200.75,1204.49,4.00,1204.75
1154,61.06,Hold,1181.97,1186.65,5.00,1186.97
1155,61.22,Sell,1185.07,1190.76,6.00,1191.07
1156,61.80,Hold,1196.30,1203.04,7.00,1203.30
1157,61.75,Hold,1195.33,1203.07,8.00,1203.33
1158,62.05,Hold,1201.14,1209.92,9.00,1210.14
1159,62.47,Buy,1219.27,1219.11,0.00,1219.27
1160,62.25,Hold,1214.98,1215.81,1.00,1215.98
1161,60.75,Sell,1185.70,1187.52,2.00,1187.70
1162,61.15,Hold,1193.51,1196.33,3.00,1196.51
1163,61.95,Hold,1209.12,1212.99,4.00,1213.12
1164,60.89,Hold,1188.43,1193.23,5.00,1193.43
1165,61.71,Hold,1204.44,1210.30,6.00,1210.44
1166,60.21,Hold,1175.16,1181.88,7.00,1182.16
1167,59.72,Hold,1165.60,1173.26,8.00,1173.60
1168,57.71,Hold,1126.36,1134.77,9.00,1135.36
1169,56.62,Hold,1105.09,1114.34,10.00,1115.09
1170,59.22,Hold,1155.84,1166.51,11.00,1166.84
1171,59.17,Hold,1154.86,1166.53,12.00,1166.86
1172,60.12,Hold,1173.40,1186.26,13.00,1186.40
1173,59.40,Hold,1159.35,1173.05,14.00,1173.35
1174,58.33,Hold,1138.47,1152.92,15.00,1153.47
1175,58.37,Hold,1139.25,1154.71,16.00,1155.25
1176,57.54,Hold,1123.05,1139.29,17.00,1140.05
1177,57.13,Hold,1115.04,1132.17,18.00,1133.04
1178,54.91,Hold,1071.72,1089.18,19.00,1090.72
1179,55.71,Hold,1087.33,1106.05,20.00,1107.33
1180,55.01,Hold,1073.67,1093.15,21.00,1094.67
1181,55.01,Hold,1073.67,1094.15,22.00,1095.67
1182,54.78,Hold,1069.18,1090.57,23.00,1092.18
1183,56.70,Hold,1106.65,1129.80,24.00,1130.65
1184,56.09,Hold,1094.75,1118.64,25.00,1119.75
1185,54.93,Hold,1072.11,1096.51,26.00,1098.11
1186,56.36,Hold,1100.02,1126.05,27.00,1127.02
1187,56.66,Buy,1133.87,1133.05,0.00,1133.87
1188,54.67,Sell,1094.05,1094.25,1.00,1095.05
1189,53.78,Hold,1076.24,1077.44,2.00,1078.24
1190,54.24,Hold,1085.44,1087.65,3.00,1088.44
1191,53.99,Hold,1080.44,1083.64,4.00,1084.44
1192,55.65,Buy,1118.66,1117.96,0.00,1118.66
1193,55.99,Hold,1125.49,1125.79,1.00,1126.49
1194,56.00,Hold,1125.69,1126.99,2.00,1127.69
1195,57.26,Hold,1151.02,1153.35,3.00,1154.02
1196,57.20,Hold,1149.82,1153.14,4.00,1153.82
1197,57.30,Hold,1151.83,1156.15,5.00,1156.83
1198,57.34,Hold,1152.63,1157.96,6.00,1158.63
1199,57.12,Hold,1148.21,1154.52,7.00,1155.21
1200,56.14,Hold,1128.51,1135.71,8.00,1136.51
1201,55.92,Hold,1124.09,1132.26,9.00,1133.09
1202,54.77,Hold,1100.97,1109.98,10.00,1110.97
1203,55.05,Hold,1106.60,1116.65,11.00,1117.60
1204,54.87,Sell,1102.98,1114.00,12.00,1114.98
1205,53.14,Hold,1068.20,1079.88,13.00,1081.20
1206,52.56,Hold,1056.55,1069.09,14.00,1070.55
1207,52.33,Hold,1051.92,1065.41,15.00,1066.92
1208,52.08,Hold,1046.90,1061.32,16.00,1062.90
1209,52.24,Hold,1050.11,1065.58,17.00,1067.11
1210,53.94,Hold,1084.29,1101.26,18.00,1102.29
1211,54.47,Hold,1094.94,1113.08,19.00,1113.94
1212,54.89,Buy,1123.38,1122.66,0.00,1123.38
1213,54.91,Hold,1123.79,1124.07,1.00,1124.79
1214,55.81,Hold,1142.21,1143.49,2.00,1144.21
1215,55.80,Hold,1142.01,1144.29,3.00,1145.01
1216,55.85,Hold,1143.03,1146.31,4.00,1147.03
1217,54.23,Hold,1109.87,1114.06,5.00,1114.87
1218,54.54,Hold,1116.22,1121.43,6.00,1122.22
1219,55.17,Hold,1129.11,1135.39,7.00,1136.11
1220,54.48,Hold,1114.99,1122.19,8.00,1122.99
1221,55.69,Hold,1139.75,1148.11,9.00,1148.75
1222,56.26,Hold,1151.42,1160.86,10.00,1161.42
1223,56.95,Hold,1165.54,1176.10,11.00,1176.54
1224,56.88,Hold,1164.11,1175.65,12.00,1176.11
1225,56.48,Hold,1155.92,1168.39,13.00,1168.92
1226,56.19,Hold,1149.99,1163.39,14.00,1163.99
1227,56.25,Hold,1151.22,1165.63,15.00,1166.22
1228,57.46,Hold,1175.98,1191.70,16.00,1191.98
1229,57.15,Hold,1169.64,1186.27,17.00,1186.64
1230,57.60,Hold,1178.84,1196.61,18.00,1196.84
1231,57.48,Hold,1176.39,1195.12,19.00,1195.39
1232,57.27,Hold,1172.09,1191.76,20.00,1192.09
1233,57.57,Hold,1178.23,1199.00,21.00,1199.23
1234,57.21,Hold,1170.86,1192.50,22.00,1192.86
1235,55.52,Sell,1136.28,1158.27,23.00,1159.28
1236,55.21,Hold,1129.93,1152.81,24.00,1153.93
1237,55.00,Hold,1125.63,1149.42,25.00,1150.63
1238,54.95,Hold,1124.61,1149.38,26.00,1150.61
1239,55.73,Hold,1140.57,1166.69,27.00,1167.57
1240,55.86,Hold,1143.23,1170.41,28.00,1171.23
1241,54.88,Hold,1123.18,1150.88,29.00,1152.18
1242,54.69,Hold,1119.29,1147.89,30.00,1149.29
1243,54.40,Hold,1113.35,1142.81,31.00,1144.35
1244,53.62,Hold,1097.39,1127.42,32.00,1129.39
1245,53.79,Hold,1100.87,1132.00,33.00,1133.87
1246,53.46,Hold,1094.12,1126.05,34.00,1128.12
1247,54.38,Hold,1112.94,1146.43,35.00,1147.94
1248,53.59,Hold,1096.78,1130.78,36.00,1132.78
1249,53.60,Hold,1096.98,1131.99,37.00,1133.98
1250,55.17,Hold,1129.11,1166.14,38.00,1167.11
1251,55.75,Buy,1179.98,1179.40,0.00,1179.98
1252,56.49,Hold,1195.65,1196.06,1.00,1196.65
1253,55.88,Hold,1182.73,1184.14,2.00,1184.73
1254,56.17,Hold,1188.87,1191.29,3.00,1191.87
1255,56.45,Hold,1194.80,1198.23,4.00,1198.80
1256,56.69,Hold,1199.88,1204.32,5.00,1204.88
1257,57.41,Hold,1215.12,1220.62,6.00,1221.12
1258,57.40,Hold,1214.91,1221.40,7.00,1221.91
1259,57.59,Hold,1218.93,1226.45,8.00,1226.93
1260,57.57,Hold,1218.50,1227.02,9.00,1227.50
1261,57.60,Hold,1219.14,1228.66,10.00,1229.14
1262,58.55,Hold,1239.25,1249.92,11.00,1250.25
1263,58.41,Hold,1236.28,1247.94,12.00,1248.28
1264,58.10,Hold,1229.72,1242.31,13.00,1242.72
1265,57.60,Hold,1219.14,1232.62,14.00,1233.14
1266,58.52,Hold,1238.61,1253.31,15.00,1253.61
1267,58.27,Hold,1233.32,1248.96,16.00,1249.32
1268,58.60,Hold,1240.30,1257.03,17.00,1257.30
1269,58.50,Hold,1238.19,1255.88,18.00,1256.19
1270,58.37,Hold,1235.44,1254.09,19.00,1254.44
1271,58.63,Hold,1240.94,1260.68,20.00,1260.94
1272,58.11,Sell,1229.93,1250.50,21.00,1250.93
1273,59.32,Buy,1277.54,1277.54,0.00,1277.54
1274,59.26,Hold,1276.25,1277.24,1.00,1277.25
1275,59.18,Hold,1274.53,1276.52,2.00,1276.53
1276,59.58,Hold,1283.14,1286.15,3.00,1286.14
1277,59.67,Hold,1285.08,1289.09,4.00,1289.08
1278,59.88,Hold,1289.60,1294.63,5.00,1294.60
1279,60.35,Hold,1299.73,1305.79,6.00,1305.73
1280,60.19,Hold,1296.28,1303.33,7.00,1303.28
1281,60.24,Hold,1297.36,1305.41,8.00,1305.36
1282,60.57,Hold,1304.46,1313.56,9.00,1313.46
1283,59.69,Hold,1285.51,1295.48,10.00,1295.51
1284,60.29,Sell,1298.43,1309.50,11.00,1309.43
1285,60.39,Hold,1300.59,1312.67,12.00,1312.59
1286,60.57,Hold,1304.46,1317.58,13.00,1317.46
1287,60.77,Hold,1308.77,1322.93,14.00,1322.77
1288,60.76,Hold,1308.56,1323.72,15.00,1323.56
1289,60.64,Hold,1305.97,1322.10,16.00,1321.97
1290,60.64,Hold,1305.97,1323.10,17.00,1322.97
1291,60.72,Hold,1307.70,1325.85,18.00,1325.70
1292,60.73,Hold,1307.91,1327.07,19.00,1326.91
1293,61.21,Hold,1318.25,1338.55,20.00,1338.25
1294,61.46,Hold,1323.63,1345.02,21.00,1344.63
1295,62.66,Buy,1371.48,1372.28,0.00,1371.48
1296,62.94,Hold,1377.60,1379.41,1.00,1378.60
1297,62.86,Hold,1375.85,1378.66,2.00,1377.85
1298,62.37,Hold,1365.13,1368.91,3.00,1368.13
1299,62.64,Hold,1371.04,1375.84,4.00,1375.04
1300,62.47,Hold,1367.32,1373.11,5.00,1372.32
1301,61.68,Sell,1350.03,1356.74,6.00,1356.03
1302,61.59,Hold,1348.06,1355.76,7.00,1355.06
1303,60.61,Hold,1326.61,1335.19,8.00,1334.61
1304,60.71,Hold,1328.80,1338.39,9.00,1337.80
1305,61.56,Hold,1347.40,1358.13,10.00,1357.40
1306,61.81,Hold,1352.87,1364.65,11.00,1363.87
1307,61.82,Hold,1353.09,1365.87,12.00,1365.09
1308,60.94,Hold,1333.83,1347.43,13.00,1346.83
1309,61.92,Hold,1355.28,1370.09,14.00,1369.28
1310,61.50,Hold,1346.09,1361.80,15.00,1361.09
1311,61.41,Hold,1344.12,1360.81,16.00,1360.12
1312,61.03,Hold,1335.80,1353.39,17.00,1352.80
1313,62.34,Hold,1364.47,1383.44,18.00,1382.47
1314,63.14,Buy,1400.98,1402.19,0.00,1400.98
1315,63.34,Hold,1405.42,1407.63,1.00,1406.42
1316,63.32,Hold,1404.98,1408.19,2.00,1406.98
1317,63.39,Hold,1406.53,1410.74,3.00,1409.53
1318,63.57,Hold,1410.52,1415.75,4.00,1414.52
1319,63.80,Hold,1415.63,1421.87,5.00,1420.63
1320,64.21,Hold,1424.72,1432.01,6.00,1430.72
1321,64.23,Hold,1425.17,1433.46,7.00,1432.17
1322,64.25,Hold,1425.61,1434.90,8.00,1433.61
1323,63.97,Hold,1419.40,1429.65,9.00,1428.40
1324,64.35,Hold,1427.83,1439.14,10.00,1437.83
1325,64.47,Hold,1430.49,1442.83,11.00,1441.49
1326,64.64,Hold,1434.26,1447.63,12.00,1446.26
1327,65.03,Hold,1442.92,1457.36,13.00,1455.92
1328,64.93,Hold,1440.70,1456.12,14.00,1454.70
1329,64.84,Hold,1438.70,1455.10,15.00,1453.70
1330,64.88,Hold,1439.59,1457.00,16.00,1455.59
1331,64.94,Hold,1440.92,1459.35,17.00,1457.92
1332,65.04,Sell,1443.14,1462.60,18.00,1461.14
1333,64.96,Hold,1441.36,1461.80,19.00,1460.36
1334,64.93,Hold,1440.70,1462.12,20.00,1460.70
1335,65.60,Hold,1455.57,1478.21,21.00,1476.57
1336,65.47,Hold,1452.68,1476.28,22.00,1474.68
1337,65.83,Hold,1460.67,1485.40,23.00,1483.67
1338,65.68,Hold,1457.34,1483.01,24.00,1481.34
1339,65.53,Hold,1454.01,1480.63,25.00,1479.01
1340,65.58,Hold,1455.12,1482.76,26.00,1481.12
1341,65.84,Hold,1460.89,1489.64,27.00,1487.89
1342,66.43,Hold,1473.98,1503.98,28.00,1501.98
1343,66.33,Buy,1500.76,1502.72,0.00,1500.76
1344,66.76,Hold,1510.49,1513.46,1.00,1511.49
1345,66.93,Hold,1514.34,1518.32,2.00,1516.34
1346,66.13,Sell,1496.24,1501.17,3.00,1499.24
1347,65.93,Hold,1491.71,1497.63,4.00,1495.71
1348,66.04,Hold,1494.20,1501.13,5.00,1499.20
1349,66.41,Hold,1502.57,1510.54,6.00,1508.57
1350,66.45,Hold,1503.48,1512.45,7.00,1510.48
1351,66.83,Hold,1512.08,1522.10,8.00,1520.08
1352,67.03,Hold,1516.60,1527.65,9.00,1525.60
1353,65.83,Hold,1489.45,1501.30,10.00,1499.45
1354,66.26,Hold,1499.18,1512.11,11.00,1510.18
1355,67.35,Hold,1523.84,1537.98,12.00,1535.84
1356,67.27,Hold,1522.03,1537.16,13.00,1535.03
1357,67.42,Buy,1539.43,1541.58,0.00,1539.43
1358,67.61,Hold,1543.76,1546.93,1.00,1544.76
1359,68.06,Hold,1554.04,1558.22,2.00,1556.04
1360,68.40,Hold,1561.80,1567.01,3.00,1564.80
1361,68.22,Hold,1557.69,1563.89,4.00,1561.69
1362,68.30,Hold,1559.52,1566.72,5.00,1564.52
1363,68.75,Hold,1569.79,1578.04,6.00,1575.79
1364,68.93,Hold,1573.90,1583.17,7.00,1580.90
1365,68.71,Hold,1568.88,1579.12,8.00,1576.88
1366,69.16,Hold,1579.16,1590.46,9.00,1588.16
1367,69.41,Hold,1584.86,1597.21,10.00,1594.86
1368,69.54,Hold,1587.83,1601.20,11.00,1598.83
1369,68.05,Sell,1553.81,1567.89,12.00,1565.81
1370,67.48,Hold,1540.80,1555.76,13.00,1553.80
1371,67.49,Hold,1541.02,1556.99,14.00,1555.02
1372,68.34,Hold,1560.43,1577.60,15.00,1575.43
1373,68.71,Hold,1568.88,1587.14,16.00,1584.88
1374,67.55,Hold,1542.39,1561.35,17.00,1559.39
1375,67.69,Hold,1545.59,1565.58,18.00,1563.59
1376,68.92,Hold,1573.68,1595.03,19.00,1592.68
1377,68.46,Hold,1563.17,1585.39,20.00,1583.17
1378,67.84,Hold,1549.02,1572.03,21.00,1570.02
1379,68.45,Hold,1562.94,1587.16,22.00,1584.94
1380,68.35,Hold,1560.66,1585.85,23.00,1583.66
1381,67.04,Hold,1530.75,1556.45,24.00,1554.75
1382,67.49,Hold,1541.02,1567.90,25.00,1566.02
1383,67.08,Hold,1531.66,1559.37,26.00,1557.66
1384,66.37,Hold,1515.45,1543.87,27.00,1542.45
1385,65.22,Hold,1489.19,1518.12,28.00,1517.19
1386,65.97,Hold,1506.32,1536.58,29.00,1535.32
1387,66.28,Hold,1513.40,1544.80,30.00,1543.40
1388,67.32,Hold,1537.14,1570.04,31.00,1568.14
1389,67.10,Hold,1532.12,1565.90,32.00,1564.12
1390,67.26,Hold,1535.77,1570.64,33.00,1568.77
1391,67.90,Buy,1584.39,1586.58,0.00,1584.39
1392,67.86,Hold,1583.45,1586.65,1.00,1584.45
1393,67.70,Hold,1579.72,1583.91,2.00,1581.72
1394,68.20,Hold,1591.39,1596.61,3.00,1594.39
1395,68.71,Hold,1603.29,1609.54,4.00,1607.29
1396,68.71,Hold,1603.29,1610.54,5.00,1608.29
1397,69.04,Hold,1610.99,1619.28,6.00,1616.99
1398,69.10,Hold,1612.39,1621.69,7.00,1619.39
1399,69.14,Hold,1613.32,1623.63,8.00,1621.32
1400,69.32,Hold,1617.52,1628.85,9.00,1626.52
1401,69.12,Hold,1612.85,1625.15,10.00,1622.85
1402,68.83,Hold,1606.09,1619.34,11.00,1617.09
1403,68.58,Hold,1600.25,1614.45,12.00,1612.25
1404,68.00,Hold,1586.72,1601.80,13.00,1599.72
1405,68.04,Sell,1587.65,1603.74,14.00,1601.65
1406,68.08,Hold,1588.59,1605.68,15.00,1603.59
1407,68.41,Hold,1596.29,1614.47,16.00,1612.29
1408,67.59,Hold,1577.15,1596.12,17.00,1594.15
1409,67.98,Hold,1586.25,1606.33,18.00,1604.25
1410,68.97,Hold,1609.35,1630.72,19.00,1628.35
1411,69.31,Buy,1637.29,1639.76,0.00,1637.29
1412,69.24,Hold,1635.63,1639.10,1.00,1636.63
1413,69.85,Hold,1650.04,1654.54,2.00,1652.04
1414,70.31,Hold,1660.91,1666.44,3.00,1663.91
1415,70.52,Hold,1665.87,1672.42,4.00,1669.87
1416,70.70,Hold,1670.12,1677.68,5.00,1675.12
1417,70.58,Hold,1667.29,1675.84,6.00,1673.29
1418,70.19,Hold,1658.07,1667.58,7.00,1665.07
1419,69.67,Hold,1645.79,1656.22,8.00,1653.79
1420,69.11,Sell,1632.56,1643.91,9.00,1641.56
1421,69.41,Hold,1639.65,1652.05,10.00,1649.65
1422,69.78,Hold,1648.39,1661.85,11.00,1659.39
1423,70.40,Hold,1663.04,1677.62,12.00,1675.04
1424,69.68,Hold,1646.03,1661.46,13.00,1659.03
1425,70.01,Hold,1653.82,1670.33,14.00,1667.82
1426,69.37,Hold,1638.70,1656.06,15.00,1653.70
1427,68.89,Hold,1627.36,1645.60,16.00,1643.36
1428,68.83,Hold,1625.95,1645.17,17.00,1642.95
1429,69.49,Hold,1641.54,1661.94,18.00,1659.54
1430,69.66,Hold,1645.55,1667.01,19.00,1664.55
1431,69.14,Hold,1633.27,1655.56,20.00,1653.27
1432,68.26,Hold,1612.48,1635.49,21.00,1633.48
1433,68.19,Hold,1610.83,1634.82,22.00,1632.83
1434,68.47,Hold,1617.44,1642.53,23.00,1640.44
1435,68.88,Hold,1627.13,1653.36,24.00,1651.13
1436,69.20,Hold,1634.69,1662.04,25.00,1659.69
1437,69.95,Hold,1652.40,1681.06,26.00,1678.40
1438,68.36,Hold,1614.84,1643.85,27.00,1641.84
1439,68.23,Hold,1611.77,1641.72,28.00,1639.77
1440,67.53,Hold,1595.24,1625.88,29.00,1624.24
1441,66.75,Hold,1576.81,1608.10,30.00,1606.81
1442,66.72,Hold,1576.10,1608.38,31.00,1607.10
1443,66.37,Hold,1567.84,1600.94,32.00,1599.84
1444,66.84,Hold,1578.94,1613.28,33.00,1611.94
1445,65.89,Hold,1556.50,1591.35,34.00,1590.50
1446,65.88,Hold,1556.26,1592.10,35.00,1591.26
1447,66.79,Hold,1577.76,1615.10,36.00,1613.76
1448,65.60,Hold,1549.65,1587.32,37.00,1586.65
1449,65.71,Hold,1552.24,1590.98,38.00,1590.24
1450,65.92,Hold,1557.21,1597.07,39.00,1596.21
1451,66.23,Hold,1564.53,1605.58,40.00,1604.53
1452,67.24,Buy,1629.39,1631.06,0.00,1629.39
1453,66.87,Hold,1620.42,1623.09,1.00,1621.42
1454,66.76,Hold,1617.76,1621.42,2.00,1619.76
1455,65.72,Hold,1592.55,1597.16,3.00,1595.55
1456,66.28,Hold,1606.12,1611.77,4.00,1610.12
1457,67.20,Hold,1628.42,1635.14,5.00,1633.42
1458,67.79,Hold,1642.72,1650.50,6.00,1648.72
1459,68.40,Hold,1657.50,1666.35,7.00,1664.50
1460,69.38,Hold,1681.24,1691.22,8.00,1689.24
1461,69.37,Hold,1681.00,1691.98,9.00,1690.00
1462,69.51,Hold,1684.40,1696.39,10.00,1694.40
1463,70.26,Hold,1702.57,1715.70,11.00,1713.57
1464,69.76,Hold,1690.45,1704.49,12.00,1702.45
1465,68.47,Hold,1659.19,1673.97,13.00,1672.19
1466,68.17,Hold,1651.92,1667.63,14.00,1665.92
1467,68.43,Hold,1658.22,1674.99,15.00,1673.22
1468,67.85,Hold,1644.17,1661.80,16.00,1660.17
1469,68.28,Hold,1654.59,1673.33,17.00,1671.59
1470,67.65,Sell,1639.32,1658.89,18.00,1657.32
1471,68.79,Hold,1666.95,1687.84,19.00,1685.95
1472,68.75,Buy,1685.98,1687.86,0.00,1685.98
1473,69.59,Hold,1706.58,1709.48,1.00,1707.58
1474,69.71,Hold,1709.52,1713.43,2.00,1711.52
1475,69.26,Hold,1698.49,1703.37,3.00,1701.49
1476,68.97,Hold,1691.37,1697.24,4.00,1695.37
1477,67.45,Sell,1654.10,1660.83,5.00,1659.10
1478,67.22,Hold,1648.46,1656.17,6.00,1654.46
1479,66.85,Hold,1639.38,1648.06,7.00,1646.38
1480,66.55,Hold,1632.03,1641.66,8.00,1640.03
1481,64.79,Hold,1588.87,1599.24,9.00,1597.87
1482,65.15,Hold,1597.69,1609.13,10.00,1607.69
1483,61.88,Hold,1517.50,1529.36,11.00,1528.50
1484,61.62,Hold,1511.13,1523.94,12.00,1523.13
1485,57.35,Hold,1406.41,1419.34,13.00,1419.41
1486,60.22,Hold,1476.79,1491.36,14.00,1490.79
1487,57.66,Hold,1414.01,1428.97,15.00,1429.01
1488,60.30,Hold,1478.76,1495.39,16.00,1494.76
1489,60.70,Hold,1488.57,1506.31,17.00,1505.57
1490,62.02,Hold,1520.94,1540.07,18.00,1538.94
1491,61.43,Hold,1506.47,1526.42,19.00,1525.47
1492,61.44,Hold,1506.71,1527.67,20.00,1526.71
1493,58.70,Hold,1439.52,1460.54,21.00,1460.52
1494,57.65,Hold,1413.77,1435.41,22.00,1435.77
1495,57.66,Hold,1414.01,1436.66,23.00,1437.01
1496,59.64,Hold,1462.57,1486.99,24.00,1486.57
1497,60.49,Buy,1508.42,1509.19,0.00,1508.42
1498,59.48,Hold,1483.23,1484.99,1.00,1484.23
1499,60.47,Hold,1507.92,1510.71,2.00,1509.92
1500,62.36,Hold,1555.05,1558.92,3.00,1558.05
1501,62.53,Hold,1559.29,1564.17,4.00,1563.29
1502,62.78,Hold,1565.52,1571.43,5.00,1570.52
1503,62.07,Hold,1547.82,1554.65,6.00,1553.82
1504,60.37,Hold,1505.42,1513.07,7.00,1512.42
1505,59.99,Hold,1495.95,1504.55,8.00,1503.95
1506,61.78,Hold,1540.58,1550.44,9.00,1549.58
1507,61.04,Hold,1522.13,1532.87,10.00,1532.13
1508,59.45,Hold,1482.48,1493.94,11.00,1493.48
1509,59.87,Hold,1492.96,1505.50,12.00,1504.96
1510,60.47,Hold,1507.92,1521.59,13.00,1520.92
1511,61.33,Hold,1529.36,1544.23,14.00,1543.36
1512,62.40,Hold,1556.04,1572.17,15.00,1571.04
1513,62.70,Hold,1563.53,1580.73,16.00,1579.53
1514,62.04,Hold,1547.07,1565.09,17.00,1564.07
1515,61.82,Hold,1541.58,1560.54,18.00,1559.58
1516,59.81,Hold,1491.46,1510.80,19.00,1510.46
1517,57.97,Sell,1445.58,1465.32,20.00,1465.58
1518,58.00,Hold,1446.32,1467.08,21.00,1467.32
1519,59.37,Hold,1480.49,1502.73,22.00,1502.49
1520,60.12,Hold,1499.19,1522.71,23.00,1522.19
1521,58.75,Hold,1465.03,1489.02,24.00,1489.03
1522,59.18,Hold,1475.75,1500.91,25.00,1500.75
1523,57.72,Hold,1439.34,1464.89,26.00,1465.34
1524,55.81,Hold,1391.71,1417.41,27.00,1418.71
1525,57.21,Hold,1426.62,1453.97,28.00,1454.62
1526,58.38,Hold,1455.80,1484.70,29.00,1484.80
1527,59.51,Hold,1483.98,1514.44,30.00,1513.98
1528,58.97,Buy,1501.51,1501.70,0.00,1501.51
1529,61.00,Hold,1553.20,1554.39,1.00,1554.20
1530,61.05,Hold,1554.47,1556.67,2.00,1556.47
1531,61.63,Hold,1569.24,1572.46,3.00,1572.24
1532,61.55,Hold,1567.20,1571.41,4.00,1571.20
1533,62.67,Hold,1595.72,1601.01,5.00,1600.72
1534,61.40,Hold,1563.39,1569.56,6.00,1569.39
1535,62.64,Hold,1594.96,1602.26,7.00,1601.96
1536,61.81,Hold,1573.83,1582.03,8.00,1581.83
1537,62.09,Hold,1580.95,1590.20,9.00,1589.95
1538,63.26,Hold,1610.75,1621.16,10.00,1620.75
1539,64.32,Hold,1637.74,1649.33,11.00,1648.74
1540,63.01,Hold,1604.38,1616.74,12.00,1616.38
1541,63.69,Hold,1621.69,1635.18,13.00,1634.69
1542,65.89,Hold,1677.71,1692.67,14.00,1691.71
1543,65.95,Hold,1679.24,1695.21,15.00,1694.24
1544,64.28,Hold,1636.72,1653.28,16.00,1652.72
1545,62.57,Hold,1593.18,1610.30,17.00,1610.18
1546,63.60,Hold,1619.40,1637.81,18.00,1637.40
1547,64.84,Hold,1650.98,1670.74,19.00,1669.98
1548,64.49,Hold,1642.06,1662.72,20.00,1662.06
1549,64.82,Hold,1650.47,1672.23,21.00,1671.47
1550,65.60,Hold,1670.33,1693.35,22.00,1692.33
1551,63.10,Sell,1606.67,1629.82,23.00,1629.67
1552,63.66,Hold,1620.93,1645.28,24.00,1644.93
1553,64.92,Hold,1653.01,1678.85,25.00,1678.01
1554,64.28,Hold,1636.72,1663.30,26.00,1662.72
1555,64.67,Hold,1646.65,1674.39,27.00,1673.65
1556,63.59,Hold,1619.15,1647.43,28.00,1647.15
1557,62.55,Hold,1592.67,1621.48,29.00,1621.67
1558,62.46,Hold,1590.38,1620.15,30.00,1620.38
1559,61.30,Hold,1560.84,1591.06,31.00,1591.84
1560,61.01,Hold,1553.46,1584.53,32.00,1585.46
1561,59.65,Hold,1518.83,1550.21,33.00,1551.83
1562,59.46,Hold,1513.99,1546.28,34.00,1547.99
1563,61.25,Hold,1559.57,1593.83,35.00,1594.57
1564,61.44,Hold,1564.40,1599.77,36.00,1600.40
1565,64.04,Hold,1630.61,1668.47,37.00,1667.61
1566,64.04,Buy,1668.61,1669.47,0.00,1668.61
1567,64.01,Hold,1667.82,1669.69,1.00,1668.82
1568,64.71,Hold,1686.06,1688.95,2.00,1688.06
1569,64.74,Hold,1686.84,1690.73,3.00,1689.84
1570,64.91,Hold,1691.27,1696.17,4.00,1695.27
1571,63.44,Hold,1652.97,1658.76,5.00,1657.97
1572,64.57,Hold,1682.42,1689.30,6.00,1688.42
1573,63.58,Hold,1656.62,1664.40,7.00,1663.62
1574,62.90,Hold,1638.90,1647.60,8.00,1646.90
1575,62.18,Sell,1620.14,1629.74,9.00,1629.14
1576,62.41,Hold,1626.14,1636.77,10.00,1636.14
1577,62.62,Hold,1631.61,1643.28,11.00,1642.61
1578,61.89,Hold,1612.59,1625.12,12.00,1624.59
1579,63.83,Hold,1663.13,1677.06,13.00,1676.13
